# Generation I Moves — metadata from index; learners are level-up only via move_learners.json
# Format: Move: Name | Type: TYPE | Cat: Physical/Special | Power: N|- | Acc: N|- | PP: N | Effect: one-liner
Move: Absorb | Type: Grass | Cat: Special | Power: 20 | Acc: 100 | PP: 25 | Effect: User recovers half the HP inflicted on opponent.
Move: Low Kick | Type: Fighting | Cat: Physical | Power: — | Acc: 100 | PP: 20 | Effect: The heavier the opponent, the stronger the attack.
Move: Meditate | Type: Psychic | Cat: Special | Power: — | Acc: — | PP: 40 | Effect: Raises user's Attack.
Move: Mega Drain | Type: Grass | Cat: Special | Power: 40 | Acc: 100 | PP: 15 | Effect: User recovers half the HP inflicted on opponent.
Move: Mega Kick | Type: Normal | Cat: Physical | Power: 120 | Acc: 75 | PP: 5 | Effect: No additional effect.
Move: Mega Punch | Type: Normal | Cat: Physical | Power: 80 | Acc: 85 | PP: 20 | Effect: No additional effect.
Move: Metronome | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 10 | Effect: User performs almost any move in the game at random.
Move: Mimic | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 10 | Effect: Copies the opponent's last move.
Move: Minimize | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 10 | Effect: Sharply raises user's Evasiveness.
Move: Mirror Move | Type: Flying | Cat: Physical | Power: — | Acc: — | PP: 20 | Effect: User performs the opponent's last move.
Move: Mist | Type: Ice | Cat: Special | Power: — | Acc: — | PP: 30 | Effect: User's stats cannot be changed for a period of time.
Move: Night Shade | Type: Ghost | Cat: Physical | Power: — | Acc: 100 | PP: 15 | Effect: Inflicts damage equal to user's level.
Move: Pay Day | Type: Normal | Cat: Physical | Power: 40 | Acc: 100 | PP: 20 | Effect: Money is earned after the battle.
Move: Peck | Type: Flying | Cat: Physical | Power: 35 | Acc: 100 | PP: 35 | Effect: No additional effect.
Move: Petal Dance | Type: Grass | Cat: Special | Power: 120 | Acc: 100 | PP: 10 | Effect: User attacks for 2-3 turns but then becomes confused.
Move: Pin Missile | Type: Bug | Cat: Physical | Power: 25 | Acc: 95 | PP: 20 | Effect: Hits 2-5 times in one turn.
Move: Poison Gas | Type: Poison | Cat: Physical | Power: — | Acc: 90 | PP: 40 | Effect: Poisons opponent.
Move: Poison Powder | Type: Poison | Cat: Physical | Power: — | Acc: 75 | PP: 35 | Effect: Poisons opponent.
Move: Poison Sting | Type: Poison | Cat: Physical | Power: 15 | Acc: 100 | PP: 35 | Effect: May poison the opponent.
Move: Pound | Type: Normal | Cat: Physical | Power: 40 | Acc: 100 | PP: 35 | Effect: No additional effect.
Move: Psybeam | Type: Psychic | Cat: Special | Power: 65 | Acc: 100 | PP: 20 | Effect: May confuse opponent.
Move: Psychic | Type: Psychic | Cat: Special | Power: 90 | Acc: 100 | PP: 10 | Effect: May lower opponent's Special Defense.
Move: Psywave | Type: Psychic | Cat: Special | Power: — | Acc: 100 | PP: 15 | Effect: Inflicts damage 50-150% of user's level.
Move: Quick Attack | Type: Normal | Cat: Physical | Power: 40 | Acc: 100 | PP: 30 | Effect: User attacks first.
Move: Rage | Type: Normal | Cat: Physical | Power: 20 | Acc: 100 | PP: 20 | Effect: Raises user's Attack when hit.
Move: Razor Leaf | Type: Grass | Cat: Special | Power: 55 | Acc: 95 | PP: 25 | Effect: High critical hit ratio.
Move: Razor Wind | Type: Normal | Cat: Physical | Power: 80 | Acc: 100 | PP: 10 | Effect: Charges on first turn, attacks on second. High critical hit ratio.
Move: Recover | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 5 | Effect: User recovers half its max HP.
Move: Reflect | Type: Psychic | Cat: Special | Power: — | Acc: — | PP: 20 | Effect: Halves damage from Physical attacks for 5 turns.
Move: Rest | Type: Psychic | Cat: Special | Power: — | Acc: — | PP: 5 | Effect: User sleeps for 2 turns, but user is fully healed.
Move: Roar | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 20 | Effect: In battles, the opponent switches. In the wild, the Pokémon runs.
Move: Rock Slide | Type: Rock | Cat: Physical | Power: 75 | Acc: 90 | PP: 10 | Effect: May cause flinching.
Move: Rock Throw | Type: Rock | Cat: Physical | Power: 50 | Acc: 90 | PP: 15 | Effect: No additional effect.
Move: Rolling Kick | Type: Fighting | Cat: Physical | Power: 60 | Acc: 85 | PP: 15 | Effect: May cause flinching.
Move: Sand Attack | Type: Normal | Cat: Physical | Power: — | Acc: 100 | PP: 15 | Effect: Lowers opponent's Accuracy.
Move: Scratch | Type: Normal | Cat: Physical | Power: 40 | Acc: 100 | PP: 35 | Effect: No additional effect.
Move: Screech | Type: Normal | Cat: Physical | Power: — | Acc: 85 | PP: 40 | Effect: Sharply lowers opponent's Defense.
Move: Seismic Toss | Type: Fighting | Cat: Physical | Power: — | Acc: 100 | PP: 20 | Effect: Inflicts damage equal to user's level.
Move: Self-Destruct | Type: Normal | Cat: Physical | Power: 200 | Acc: 100 | PP: 5 | Effect: User faints.
Move: Sharpen | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 30 | Effect: Raises user's Attack.
Move: Sing | Type: Normal | Cat: Physical | Power: — | Acc: 55 | PP: 15 | Effect: Puts opponent to sleep.
Move: Skull Bash | Type: Normal | Cat: Physical | Power: 130 | Acc: 100 | PP: 10 | Effect: Raises Defense on first turn, attacks on second.
Move: Sky Attack | Type: Flying | Cat: Physical | Power: 140 | Acc: 90 | PP: 5 | Effect: Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.
Move: Slam | Type: Normal | Cat: Physical | Power: 80 | Acc: 75 | PP: 20 | Effect: No additional effect.
Move: Slash | Type: Normal | Cat: Physical | Power: 70 | Acc: 100 | PP: 20 | Effect: High critical hit ratio.
Move: Sleep Powder | Type: Grass | Cat: Special | Power: — | Acc: 75 | PP: 15 | Effect: Puts opponent to sleep.
Move: Sludge | Type: Poison | Cat: Physical | Power: 65 | Acc: 100 | PP: 20 | Effect: May poison opponent.
Move: Smog | Type: Poison | Cat: Physical | Power: 30 | Acc: 70 | PP: 20 | Effect: May poison opponent.
Move: Smokescreen | Type: Normal | Cat: Physical | Power: — | Acc: 100 | PP: 20 | Effect: Lowers opponent's Accuracy.
Move: Soft-Boiled | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 5 | Effect: User recovers half its max HP.
Move: Solar Beam | Type: Grass | Cat: Special | Power: 120 | Acc: 100 | PP: 10 | Effect: Charges on first turn, attacks on second.
Move: Sonic Boom | Type: Normal | Cat: Physical | Power: — | Acc: 90 | PP: 20 | Effect: Always inflicts 20 HP.
Move: Spike Cannon | Type: Normal | Cat: Physical | Power: 20 | Acc: 100 | PP: 15 | Effect: Hits 2-5 times in one turn.
Move: Splash | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 40 | Effect: Doesn't do ANYTHING.
Move: Spore | Type: Grass | Cat: Special | Power: — | Acc: 100 | PP: 15 | Effect: Puts opponent to sleep.
Move: Stomp | Type: Normal | Cat: Physical | Power: 65 | Acc: 100 | PP: 20 | Effect: May cause flinching.
Move: Strength | Type: Normal | Cat: Physical | Power: 80 | Acc: 100 | PP: 15 | Effect: No additional effect.
Move: String Shot | Type: Bug | Cat: Physical | Power: — | Acc: 95 | PP: 40 | Effect: Sharply lowers opponent's Speed.
Move: Struggle | Type: Normal | Cat: Physical | Power: 50 | Acc: — | PP: — | Effect: Only usable when all PP are gone. Hurts the user.
Move: Stun Spore | Type: Grass | Cat: Special | Power: — | Acc: 75 | PP: 30 | Effect: Paralyzes opponent.
Move: Submission | Type: Fighting | Cat: Physical | Power: 80 | Acc: 80 | PP: 20 | Effect: User receives recoil damage.
Move: Substitute | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 10 | Effect: Uses HP to creates a decoy that takes hits.
Move: Super Fang | Type: Normal | Cat: Physical | Power: — | Acc: 90 | PP: 10 | Effect: Always takes off half of the opponent's HP.
Move: Supersonic | Type: Normal | Cat: Physical | Power: — | Acc: 55 | PP: 20 | Effect: Confuses opponent.
Move: Surf | Type: Water | Cat: Special | Power: 90 | Acc: 100 | PP: 15 | Effect: Hits all adjacent Pokémon.
Move: Swift | Type: Normal | Cat: Physical | Power: 60 | Acc: ∞ | PP: 20 | Effect: Ignores Accuracy and Evasiveness.
Move: Swords Dance | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 20 | Effect: Sharply raises user's Attack.
Move: Tackle | Type: Normal | Cat: Physical | Power: 40 | Acc: 100 | PP: 35 | Effect: No additional effect.
Move: Tail Whip | Type: Normal | Cat: Physical | Power: — | Acc: 100 | PP: 30 | Effect: Lowers opponent's Defense.
Move: Take Down | Type: Normal | Cat: Physical | Power: 90 | Acc: 85 | PP: 20 | Effect: User receives recoil damage.
Move: Teleport | Type: Psychic | Cat: Special | Power: — | Acc: — | PP: 20 | Effect: Allows user to flee wild battles; also warps player to last PokéCenter.
Move: Thrash | Type: Normal | Cat: Physical | Power: 120 | Acc: 100 | PP: 10 | Effect: User attacks for 2-3 turns but then becomes confused.
Move: Thunder | Type: Electric | Cat: Special | Power: 110 | Acc: 70 | PP: 10 | Effect: May paralyze opponent.
Move: Thunder Punch | Type: Electric | Cat: Special | Power: 75 | Acc: 100 | PP: 15 | Effect: May paralyze opponent.
Move: Thunder Shock | Type: Electric | Cat: Special | Power: 40 | Acc: 100 | PP: 30 | Effect: May paralyze opponent.
Move: Thunder Wave | Type: Electric | Cat: Special | Power: — | Acc: 90 | PP: 20 | Effect: Paralyzes opponent.
Move: Thunderbolt | Type: Electric | Cat: Special | Power: 90 | Acc: 100 | PP: 15 | Effect: May paralyze opponent.
Move: Toxic | Type: Poison | Cat: Physical | Power: — | Acc: 90 | PP: 10 | Effect: Badly poisons opponent.
Move: Transform | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 10 | Effect: User takes on the form and attacks of the opponent.
Move: Tri Attack | Type: Normal | Cat: Physical | Power: 80 | Acc: 100 | PP: 10 | Effect: May paralyze, burn or freeze opponent.
Move: Twineedle | Type: Bug | Cat: Physical | Power: 25 | Acc: 100 | PP: 20 | Effect: Hits twice in one turn. May poison opponent.
Move: Vine Whip | Type: Grass | Cat: Special | Power: 45 | Acc: 100 | PP: 25 | Effect: No additional effect.
Move: Vise Grip | Type: Normal | Cat: Physical | Power: 55 | Acc: 100 | PP: 30 | Effect: No additional effect.
Move: Water Gun | Type: Water | Cat: Special | Power: 40 | Acc: 100 | PP: 25 | Effect: No additional effect.
Move: Waterfall | Type: Water | Cat: Special | Power: 80 | Acc: 100 | PP: 15 | Effect: May cause flinching.
Move: Whirlwind | Type: Normal | Cat: Physical | Power: — | Acc: — | PP: 20 | Effect: In battles, the opponent switches. In the wild, the Pokémon runs.
Move: Wing Attack | Type: Flying | Cat: Physical | Power: 60 | Acc: 100 | PP: 35 | Effect: No additional effect.
Move: Withdraw | Type: Water | Cat: Special | Power: — | Acc: — | PP: 40 | Effect: Raises user's Defense.
Move: Wrap | Type: Normal | Cat: Physical | Power: 15 | Acc: 90 | PP: 20 | Effect: Traps opponent, damaging them for 4-5 turns.
